Gene,SRR10398412,SRR10398413,SRR10398414,SRR10398415,SRR10398416,SRR10398417,SRR10398418,SRR10398419,SRR10398420
PA1113,1165.1895,639.0146,331.52866,722.4114,610.78235,660.66907,413.049,708.24713,886.7317
PA1114,828.4006,511.53336,377.13895,1059.5396,777.7975,881.1829,450.31628,850.7597,1123.3035
PA1115,9525.529,4947.8247,4570.7812,6639.685,5620.017,6510.7935,2853.08,4975.21,6819.277
PA1116,1516.5253,1064.8602,679.03864,405.0139,346.3939,475.71497,294.9263,564.2574,482.895
PA1117,1265.7162,877.32245,606.64355,506.7496,505.7662,513.01294,435.28326,890.4911,950.9077
PA1118,2905.4973,1525.0839,1992.123,4081.2388,3609.725,3386.645,2322.7522,3997.6365,4476.2686
PA1119,3455.4583,1938.7299,1052.3804,1758.4999,1441.7972,1623.98,816.8897,1715.8209,1676.7981
PA1120,3081.5928,1611.0804,1232.1047,1547.6666,1770.461,1750.9795,892.4282,1845.0321,2014.5183
PA1121,2658.2686,1329.2812,1054.5786,1391.4562,1561.1549,1851.8807,781.9372,1694.5479,1712.2059
PA1122,1509.493,1048.1112,590.2023,998.81055,986.3697,734.7762,612.17096,1159.0962,1283.3629
PA1123,7047.043,4178.298,4360.347,2590.457,2250.8315,2274.128,1451.4227,3216.8037,2806.765
PA1124,3797.0889,2252.1707,1720.5735,2180.6375,2215.2869,2024.2305,1810.4558,3050.4001,2867.532
PA1125,622.09326,416.71014,186.42566,524.62897,388.15216,448.92963,279.87875,640.524,711.1208
PA1126,720.46625,498.3373,416.41632,435.95602,391.73236,498.05402,323.0867,589.2,585.0746
PA1127,1588.1469,1101.0319,500.33447,760.95166,772.9841,731.24146,635.8703,1294.5819,1122.3492
PA1128,340.3226,208.77411,169.47333,231.546,227.99342,284.04343,197.15405,420.38184,409.24402
PA1129,241.50842,129.3864,62.868526,247.24864,197.8248,164.37827,145.96849,318.61746,500.12018
PA1130,845.16364,438.8741,291.73352,876.7547,911.7537,598.8527,630.7801,1256.5438,2312.7795
PA1131,700.8153,286.03714,436.75592,524.1761,687.22687,589.507,592.4302,1059.8173,1866.0568
PA1132,2985.4585,1625.2544,1315.5702,563.506,534.77374,1030.4131,358.7213,763.576,807.96735
PA1133,426.01724,219.3255,159.6621,207.59529,192.74884,213.17279,92.60675,245.35292,284.294
PA1134,211.64484,122.42357,40.621315,60.55099,50.330723,55.104263,42.27697,78.7975,84.09766
PA1135,773.30896,393.83078,294.48056,445.24368,482.6216,375.64975,377.0852,597.2243,668.09283
PA1136,1727.9724,888.7326,499.67218,601.2856,594.23566,527.70514,703.1891,1050.378,1141.7141
PA1137,3971.6326,2167.7078,832.35596,805.9808,714.11584,946.36536,2171.6797,3271.908,3098.7322
PA1138,302.81216,191.38686,115.309265,292.46524,281.47757,297.48682,174.74777,299.17023,447.77344
PA1139,1173.0577,630.4552,399.83398,695.94,612.8029,652.6046,303.7827,647.5438,760.9281
PA1140,1085.636,670.5435,350.1466,559.3404,529.88727,590.32324,457.33102,857.1515,642.6288
PA1141,407.19687,241.81558,160.81128,303.44186,267.68945,372.373,179.77492,501.47354,480.10953
PA1142,629.81464,350.25174,203.61452,194.38594,168.50406,267.5565,167.60774,392.714,308.1732
PA1143,72.31483,48.391148,28.203766,39.971558,58.80042,48.032238,35.135303,56.563232,67.77685
PA1144,139.66898,85.46709,68.89534,61.03162,53.116924,90.627815,46.13227,120.43853,120.19434
PA1145,367.24863,205.34265,181.66583,193.30148,211.12514,234.56712,175.58958,334.05118,302.0808
PA1146,316.29007,217.48022,149.3151,276.76843,270.49942,225.8923,165.61101,432.14496,449.30124
PA1147,204.31749,109.22981,51.853916,109.45912,88.69751,125.39091,67.31268,141.48,174.81973
PA1148,880.9796,517.08307,289.74255,246.96442,236.53476,292.896,138.41719,313.15295,411.17664
PA1149,169.33937,105.11964,59.78816,56.848175,44.39669,39.132984,33.9515,65.68673,76.45353
PA1150,10615.364,5914.085,6280.888,4097.358,3639.1025,7577.285,3017.2263,3695.0913,4146.9336
PA1151,18962.97,11626.075,9496.173,11796.187,8190.2905,16524.746,6621.957,8608.527,9992.493
PA1152,1552.6714,660.4224,505.92676,212.7582,183.84152,510.9566,167.05212,198.25197,266.14676
PA1153,164.076,90.86211,68.16972,146.4682,113.4257,104.18499,85.77152,213.86255,147.83598
PA1154,222.55836,130.61469,138.61046,161.05977,121.71976,135.59367,119.12775,178.90591,189.81146
PA1155,17885.494,10292.8,5599.5527,4987.0215,4408.57,6775.226,3613.3125,6201.3887,4738.1846
PA1156,27160.65,13444.979,6156.918,6089.6367,4803.8013,10051.211,5720.7144,10328.451,8285.27
PA1157,779.24396,452.23373,324.58942,424.7542,338.11124,580.72296,307.4543,801.66315,608.5587
PA1158,773.4681,392.58173,241.38556,322.03452,327.31723,418.6968,230.53856,473.70233,524.751
PA1159,6692.673,3637.2737,4305.869,8167.424,6699.1553,14671.817,8511.965,19627.004,11273.986
PA1160,1074.8136,724.3508,488.5482,725.49097,808.9251,638.7989,355.4495,796.67096,877.7499
PA1161,1176.7561,586.64374,259.5182,163.3264,150.28276,213.86404,132.36952,295.21417,243.44511
PA1162,2143.829,1145.383,641.0256,408.51184,419.63754,614.34375,335.29382,697.9794,555.0135
PA1163,2138.891,1149.4545,763.656,1447.6824,1418.029,1507.5839,857.9253,1549.222,1852.3834
PA1164,1379.8563,808.59814,519.3342,508.45764,533.78,649.68823,456.06012,870.36017,879.2147
PA1165,740.1053,438.53928,237.94539,331.43073,342.6703,406.9105,191.76936,454.69357,580.3105
PA1166,716.44574,413.84503,220.71823,388.41718,419.1039,415.46558,292.2072,598.38556,578.2114
PA1167,1120.6428,636.05786,513.6462,748.1383,836.90295,763.1449,426.65182,743.1353,798.52716
PA1168,144.2291,76.52587,80.24237,218.80823,180.4292,300.4566,77.515305,171.20143,209.34889
PA1169,701.58563,448.73804,317.75464,596.48645,498.4023,615.5786,364.23132,706.9361,753.35223
PA1170,1441.8939,840.226,468.52554,226.9091,192.76035,286.5878,147.58241,251.75932,274.737
PA1171,3306.7168,1797.5049,1100.6539,1299.6758,1298.8184,1818.8047,849.36163,1926.2067,1999.5746
PA1172,4203.5103,2002.2925,2098.536,1894.5216,1887.4495,2134.5095,802.5841,1200.6632,1743.6604
